2020.01.27 16:58:21.145 | > N | 190a | 0002 | 41542b414c41524d3a302c30302c313131313131 (AT+ALARM:0,00,111111)
2020.01.27 16:58:21.160 | > N | 190a | 0002 | 31302c303830300d0a (10,0800  )
2020.01.27 16:58:21.235 | < W | 190a | 0001 | 41542b414c41524d323d302c30302c3131313131 (AT+ALARM2=0,00,11111)
2020.01.27 16:58:21.239 | < W | 190a | 0001 | 3131302c303830300d0a (110,0800  )
2020.01.27 16:58:21.295 | > N | 190a | 0002 | 41542b414c41524d323a302c30302c3131313131 (AT+ALARM2:0,00,11111)
2020.01.27 16:58:21.299 | > N | 190a | 0002 | 3131302c303830300d0a (110,0800  )
2020.01.27 16:58:21.381 | < W | 190a | 0001 | 41542b444553543d31303030300d0a (AT+DEST=10000  )
2020.01.27 16:58:21.415 | > N | 190a | 0002 | 41542b444553543a31303030300d0a (AT+DEST:10000  )
2020.01.27 16:58:21.479 | < W | 190a | 0001 | 42542b5645520d0a (BT+VER  )
2020.01.27 16:58:21.536 | > N | 190a | 0002 | 42542b5645523a3132322e3034332e3031380d0a (BT+VER:122.043.018  )
2020.01.27 16:58:51.386 | < W | 190a | 0001 | 41542b424f4e440d0a (AT+BOND  )
2020.01.27 16:58:53.846 | > N | 190a | 0002 | 4e542b544f504143453a300d0a (NT+TOPACE:0  )
2020.01.27 16:58:55.256 | > N | 190a | 0002 | 41542b424f4e443a4f4b0d0a (AT+BOND:OK  )
2020.01.27 16:58:55.334 | < W | 190a | 0001 | 41542b4143540d0a (AT+ACT  )
2020.01.27 16:58:55.392 | > N | 190a | 0002 | 41542b4143543a310d0a (AT+ACT:1  )
2020.01.27 16:58:55.919 | < W | 190a | 0001 | 41542b544f504143453d300d0a (AT+TOPACE=0  )
2020.01.27 16:58:55.960 | > N | 190a | 0002 | 41542b544f504143453a300d0a (AT+TOPACE:0  )
2020.01.27 16:58:56.017 | < W | 190a | 0001 | 41542b53594e3d310d0a (AT+SYN=1  )
2020.01.27 16:58:56.050 | > N | 190a | 0002 | 41542b53594e3a310d0a (AT+SYN:1  )
2020.01.27 16:58:56.115 | < W | 190a | 0001 | 41542b54494d455a4f4e450d0a (AT+TIMEZONE  )
2020.01.27 16:58:56.155 | > N | 190a | 0002 | 41542b54494d455a4f4e453a300d0a (AT+TIMEZONE:0  )
2020.01.27 16:58:56.212 | < W | 190a | 0001 | 41542b5354455053544f52450d0a (AT+STEPSTORE  )
2020.01.27 16:58:56.245 | > N | 190a | 0002 | 41542b5354455053544f52453a4f4b0d0a (AT+STEPSTORE:OK  )
2020.01.27 16:58:56.310 | < W | 190a | 0001 | 41542b444154413d300d0a (AT+DATA=0  )
2020.01.27 16:58:56.382 | > N | 190a | 0002 | 41542b444154413a302c3030302c3132302c3030 (AT+DATA:0,000,120,00)
2020.01.27 16:58:56.397 | > N | 190a | 0002 | 302c3030302c3030302c300d0a (0,000,000,0  )
2020.01.27 16:58:56.456 | < W | 190a | 0001 | 41542b44543d3230323030313237313635383534 (AT+DT=20200127165854)
2020.01.27 16:58:56.459 | < W | 190a | 0001 | 0d0a (  )
2020.01.27 16:58:56.533 | > N | 190a | 0002 | 41542b44543a3230323030313237313635383534 (AT+DT:20200127165854)
2020.01.27 16:58:56.536 | > N | 190a | 0002 | 0d0a (  )
2020.01.27 16:58:56.602 | < W | 190a | 0001 | 41542b54494d455a4f4e453d2d31343430300d0a (AT+TIMEZONE=-14400  )
2020.01.27 16:58:56.635 | > N | 190a | 0002 | 41542b54494d455a4f4e453a2d31343430300d0a (AT+TIMEZONE:-14400  )
2020.01.27 16:58:56.699 | < W | 190a | 0001 | 41542b53594e3d300d0a (AT+SYN=0  )
2020.01.27 16:58:56.757 | > N | 190a | 0002 | 41542b53594e3a300d0a (AT+SYN:0  )
2020.01.27 16:58:56.846 | < W | 190a | 0001 | 41542b544f504143453d310d0a (AT+TOPACE=1  )
2020.01.27 16:58:56.905 | > N | 190a | 0002 | 41542b544f504143453a4f4b0d0a (AT+TOPACE:OK  )
2020.01.27 16:58:56.992 | < W | 190a | 0001 | 41542b504143453d30303030300d0a (AT+PACE=00000  )
2020.01.27 16:58:57.055 | > N | 190a | 0002 | 41542b504143453a300d0a (AT+PACE:0  )
